time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,19,8,0,0
2026-05-01 00:00:00+00:00,30,8,0,0
2026-05-02 00:00:00+00:00,39,12,0,0
2026-05-03 00:00:00+00:00,14,8,0,0
2026-05-04 00:00:00+00:00,14,5,1,1
2026-05-05 00:00:00+00:00,50,12,8,3
2026-05-06 00:00:00+00:00,6,5,2,2
2026-05-07 00:00:00+00:00,14,5,0,0
2026-05-08 00:00:00+00:00,15,5,0,0
2026-05-09 00:00:00+00:00,32,10,0,0
2026-05-10 00:00:00+00:00,18,6,2,1
2026-05-11 00:00:00+00:00,24,6,1,1
2026-05-12 00:00:00+00:00,27,10,0,0
2026-05-13 00:00:00+00:00,14,3,0,0
